Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2030","2030","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2050","2050","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1980","1980","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1981","1981","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1982","1982","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1983","1983","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1984","1984","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1985","1985","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1986","1986","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1987","1987","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1988","1988","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1989","1989","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1990","1990","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1991","1991","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1992","1992","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1993","1993","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1994","1994","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1995","1995","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1996","1996","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1997","1997","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1998","1998","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","1999","1999","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2000","2000","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2001","2001","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2002","2002","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2003","2003","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2004","2004","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2005","2005","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2006","2006","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2007","2007","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2008","2008","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2009","2009","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2010","2010","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2011","2011","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2012","2012","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2013","2013","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2014","2014","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2015","2015","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2016","2016","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2017","2017","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2018","2018","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2030","2030","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72246","Implied emission factor for CH4 (Manure management)","1107","Asses","2050","2050","kg CH4/head","0.76","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1980","1980","kg N2O-N/kg N","0.005","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1981","1981","kg N2O-N/kg N","0.005","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1982","1982","kg N2O-N/kg N","0.005","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1983","1983","kg N2O-N/kg N","0.005","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1984","1984","kg N2O-N/kg N","0.005","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72296","Implied emission factor for N2O (Manure management)","1107","Asses","1985","1985","kg N2O-N/kg N","0.005","Fc","Calculated data"
